"cr286_crs_id","importsequencenumber","cr286_point_id","cr286_point_name","cr286_seismic_3d_survey_id","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_3d_seismic_coordinateid","cr286_x","cr286_y","owningbusinessunit"
"WGS85_TM_109E","","R000203","Coordinate of Point 6","D3CL19","1","0","","","2405581","a9d5e406-d0fa-ee11-9f89-000d3aa02f9f","435728","1141215","bdc98465-7de8-ee11-a203-00224856dfbe"
"EVEREST_1830_UTM_48","","R000197","Coordinate of Point 5","D3MTC1","1","0","","","2405580","a6d5e406-d0fa-ee11-9f89-000d3aa02f9f","237845","1005579","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000198","Coordinate of Point 5","D3MTC4","1","0","","","2405579","a3d5e406-d0fa-ee11-9f89-000d3aa02f9f","849094","849883","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000200","Coordinate of Point 6","D3CL3","1","0","","","2405578","a5d5e406-d0fa-ee11-9f89-000d3aa02f9f","794000","1092000","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000199","Coordinate of Point 6","D3CL2","1","0","","","2405577","a4d5e406-d0fa-ee11-9f89-000d3aa02f9f","882464","1164059","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000196","Coordinate of Point 5","D3CL26","1","0","","","2405576","a2d5e406-d0fa-ee11-9f89-000d3aa02f9f","877411","1113828","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000193","Coordinate of Point 5","D3CL21","1","0","","","2405575","a1d5e406-d0fa-ee11-9f89-000d3aa02f9f","854814","1155246","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000194","Coordinate of Point 5","D3CL22","1","0","","","2405574","9fd5e406-d0fa-ee11-9f89-000d3aa02f9f","828877","1108068","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000195","Coordinate of Point 5","D3CL24","1","0","","","2405573","a0d5e406-d0fa-ee11-9f89-000d3aa02f9f","939705","1174593","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS85_TM_109E","","R000191","Coordinate of Point 5","D3CL19","1","0","","","2405572","9dd5e406-d0fa-ee11-9f89-000d3aa02f9f","443883","1132756","bdc98465-7de8-ee11-a203-00224856dfbe"
